date,open,high,low,close,adj_close,volume,high_20,low_20,vol_sma20,atr14
2019-01-02,128.99,137.51,128.56,135.68,134.6236,28146200,,,,
2019-01-03,134.69,137.17,131.12,131.74,130.7142,22717900,,,,
2019-01-04,134.01,138.0,133.75,137.95,136.8759,29002100,,,,
2019-01-07,137.56,138.87,135.91,138.05,136.9751,20089300,,,,
2019-01-08,139.89,143.14,139.54,142.53,141.4202,26263800,,,,
2019-01-09,142.95,144.7,141.27,144.23,143.1069,22205900,,,,
2019-01-10,143.08,144.56,140.84,144.2,143.0772,16125000,,,,
2019-01-11,143.15,145.36,142.57,143.8,142.6803,12908000,,,,
2019-01-14,142.0,146.57,141.27,145.39,144.2579,20520300,,,,
2019-01-15,146.01,150.68,145.99,148.95,147.7902,24069000,,,,
2019-01-16,149.0,149.65,147.0,147.54,146.3912,18025700,,,,
2019-01-17,146.95,149.0,146.5,148.3,147.1453,15787900,,,,
2019-01-18,149.75,152.43,148.55,150.04,148.8717,31029600,,,,
2019-01-22,149.2,151.53,146.37,147.57,146.421,22378700,,,,4.5914
2019-01-23,148.28,148.8,143.06,144.3,143.1764,20098400,,,,4.6735
2019-01-24,144.64,146.44,142.52,145.83,144.6945,20955500,,,,4.6197
2019-01-25,147.48,149.83,146.54,149.01,147.8498,22237200,,,,4.5754
2019-01-28,148.05,148.96,146.21,147.47,146.3217,15508500,,,,4.4486
2019-01-29,148.09,148.1,143.43,144.19,143.0673,17632100,,,,4.4644
2019-01-30,146.22,150.95,145.7,150.42,149.2488,44613200,152.43,128.56,22515715.0,4.6284
2019-01-31,165.6,171.68,165.0,166.69,165.3921,77233600,171.68,131.12,24970085.0,5.8163
2019-02-01,165.84,169.1,165.66,165.71,164.4197,30806500,171.68,133.75,25374515.0,5.6466
2019-02-04,165.7,169.3,163.62,169.25,167.9322,20036000,171.68,135.91,24926210.0,5.649
2019-02-05,169.15,171.98,168.69,171.16,169.8273,22557000,171.98,139.54,25049595.0,5.4805
2019-02-06,171.2,172.47,169.27,170.49,169.1625,13281200,172.47,140.84,24400465.0,5.3176
2019-02-07,168.2,169.24,165.25,166.38,165.0845,17517600,172.47,140.84,24166050.0,5.3121
2019-02-08,164.47,167.37,164.21,167.33,166.0271,12561400,172.47,141.27,23987870.0,5.1583
2019-02-11,167.9,168.3,165.08,165.79,164.4991,12811200,172.47,141.27,23983030.0,5.0199
2019-02-12,166.86,168.34,164.5,165.04,163.7549,16292300,172.47,142.52,23771630.0,4.9356
2019-02-13,165.38,166.22,163.73,164.07,162.7925,14205100,172.47,142.52,23278435.0,4.7609
2019-02-14,163.19,164.87,162.25,163.95,162.6734,12755200,172.47,142.52,23014910.0,4.608
2019-02-15,164.51,164.7,160.86,162.5,161.2347,15504400,172.47,142.52,23000735.0,4.5531
2019-02-19,160.5,164.15,160.33,162.29,161.0264,14345400,172.47,142.52,22166525.0,4.5008
2019-02-20,162.25,163.72,161.25,162.56,161.2942,11770700,172.47,142.52,21636125.0,4.3557
2019-02-21,161.93,162.24,159.59,160.04,158.7939,15607800,172.47,142.52,21411595.0,4.2567
2019-02-22,160.58,162.41,160.31,161.89,160.6295,15858500,172.47,143.43,21156745.0,4.122
2019-02-25,163.07,166.07,162.9,164.62,163.3382,18737100,172.47,143.43,20981740.0,4.1261
2019-02-26,164.34,166.24,163.8,164.13,162.852,13784100,172.47,143.43,20895520.0,4.0057
2019-02-27,162.9,163.93,160.41,162.81,161.5423,12697500,172.47,145.7,20648790.0,3.9853
2019-02-28,162.37,163.5,160.86,161.45,160.1929,11114200,172.47,159.59,18973840.0,3.8892
2019-03-01,162.6,163.13,161.69,162.28,161.0164,11097800,172.47,159.59,15667050.0,3.7314
2019-03-04,163.9,167.5,163.83,167.37,166.0668,18894700,172.47,159.59,15071460.0,3.8377
2019-03-05,167.37,171.88,166.55,171.26,169.9265,28187900,172.47,159.59,15479055.0,3.9443
2019-03-06,172.9,173.57,171.27,172.51,171.1668,21531700,173.57,159.59,15427790.0,3.8276
2019-03-07,171.5,171.74,167.61,169.13,167.8131,18306500,173.57,159.59,15679055.0,3.9042
2019-03-08,166.2,169.62,165.97,169.6,168.2794,13184800,173.57,159.59,15462415.0,3.886
2019-03-11,171.6,174.3,171.58,172.07,170.7302,18884000,174.3,159.59,15778545.0,3.9442
2019-03-12,172.09,173.8,171.22,171.92,170.5814,12155300,174.3,159.59,15745750.0,3.8467
2019-03-13,172.32,174.03,172.12,173.37,172.0201,11973300,174.3,159.59,15529800.0,3.7227
2019-03-14,169.76,171.15,168.16,170.17,168.845,18037400,174.3,159.59,15721415.0,3.8289
2019-03-15,167.16,167.58,162.51,165.98,164.6876,37135400,174.3,159.59,16940425.0,4.1026
2019-03-18,163.57,163.9,159.28,160.47,159.2205,37524200,174.3,159.28,18041415.0,4.2881
2019-03-19,161.48,163.82,160.82,161.57,160.312,25611500,174.3,159.28,18604720.0,4.2211
