date,open,high,low,close,adj_close,volume,high_20,low_20,vol_sma20,atr14
2019-01-02,150.99,155.75,150.88,154.88,148.0408,58576700,,,,
2019-01-03,152.6,153.26,149.49,149.82,143.2043,74820200,,,,
2019-01-04,152.34,157.0,151.74,156.23,149.3313,74709300,,,,
2019-01-07,156.62,158.86,156.11,158.09,151.1091,52059300,,,,
2019-01-08,159.54,160.11,157.2,159.52,152.476,49388700,,,,
2019-01-09,160.14,161.52,159.47,160.82,153.7186,46491700,,,,
2019-01-10,159.6,161.37,158.7,161.28,154.1582,38943400,,,,
2019-01-11,160.33,160.86,159.79,160.69,153.5943,30176600,,,,
2019-01-14,159.33,159.96,158.59,159.27,152.2369,30710200,,,,
2019-01-15,160.0,162.6,159.91,162.38,155.2097,40874200,,,,
2019-01-16,162.65,163.78,162.29,162.35,155.181,33812200,,,,
2019-01-17,161.83,164.36,161.57,163.63,156.4045,39329000,,,,
2019-01-18,164.78,166.02,163.82,165.25,157.9529,57183200,,,,
2019-01-22,164.06,164.14,160.76,161.94,154.7891,56711700,,,,3.2786
2019-01-23,162.77,163.51,160.32,162.15,154.9898,38106100,,,,3.2722
2019-01-24,162.68,163.44,162.06,163.2,155.9935,32417800,,,,3.1371
2019-01-25,164.51,165.65,163.95,165.15,157.8573,36515900,,,,3.088
2019-01-28,163.02,163.12,161.75,163.11,155.9074,33491200,,,,3.1103
2019-01-29,163.2,163.24,160.99,161.57,154.4354,30784200,,,,3.0488
2019-01-30,163.4,166.28,162.89,165.68,158.3639,41346500,166.28,149.49,44822405.0,3.1675
2019-01-31,166.7,168.99,166.47,168.16,160.7345,37258400,168.99,149.49,43756490.0,3.1777
2019-02-01,167.33,168.6,166.99,167.45,160.0558,32143700,168.99,151.74,41622665.0,3.0657
2019-02-04,167.48,169.53,167.33,169.53,162.0439,26718800,169.53,156.11,39223140.0,3.0039
2019-02-05,169.76,171.23,169.69,171.03,163.4777,28156400,171.23,157.2,38027995.0,2.9107
2019-02-06,171.07,171.37,169.75,170.52,162.9902,27970000,171.37,158.59,36957060.0,2.8185
2019-02-07,169.03,169.45,166.95,168.23,160.8013,42036200,171.37,158.59,36734285.0,2.8722
2019-02-08,166.76,168.59,166.57,168.56,161.1168,29020700,171.37,158.59,36238150.0,2.8113
2019-02-11,169.17,169.58,167.98,168.4,160.9638,21434100,171.37,158.59,35801025.0,2.7248
2019-02-12,169.63,171.14,169.33,170.89,163.3439,29722100,171.37,159.91,35751620.0,2.7259
2019-02-13,171.65,172.16,170.82,171.01,163.4586,26094100,172.16,160.32,35012615.0,2.6269
2019-02-14,170.4,171.83,169.83,171.22,163.6593,30326800,172.16,160.32,34838345.0,2.5821
2019-02-15,172.52,172.56,171.14,171.94,164.3475,32521700,172.56,160.32,34497980.0,2.4991
2019-02-19,171.41,172.8,171.38,172.28,164.6725,19487700,172.8,160.32,32613205.0,2.422
2019-02-20,172.4,173.08,171.32,172.25,164.6438,32593000,173.08,160.32,31407270.0,2.3748
2019-02-21,171.79,172.26,170.71,171.62,164.0417,25207400,173.08,160.99,30762335.0,2.3158
2019-02-22,171.99,173.01,171.9,172.89,165.2556,27735400,173.08,160.99,30528215.0,2.2497
2019-02-25,174.21,174.66,173.4,173.52,165.8577,32608800,174.66,160.99,30332860.0,2.2154
2019-02-26,173.1,174.25,172.81,173.7,166.0298,21939700,174.66,160.99,29755285.0,2.1601
2019-02-27,172.9,173.8,171.76,173.59,165.9247,25162000,174.66,162.89,29474175.0,2.1515
2019-02-28,173.05,173.81,172.7,173.19,165.5423,25085500,174.66,166.47,28661125.0,2.0771
2019-03-01,174.44,174.65,173.18,174.39,166.6893,31431200,174.66,166.57,28369765.0,2.0337
2019-03-04,175.54,175.79,172.47,174.42,166.718,38063500,175.79,166.57,28665755.0,2.1256
2019-03-05,174.55,175.09,173.69,174.55,166.8423,22319900,175.79,166.57,28445810.0,2.0738
2019-03-06,174.72,174.75,173.28,173.56,165.8959,27194600,175.79,166.57,28397720.0,2.0306
2019-03-07,173.12,173.18,170.79,171.43,163.86,39407400,175.79,166.57,28969590.0,2.0835
2019-03-08,169.51,171.26,169.34,171.17,163.6115,39303200,175.79,166.57,28832940.0,2.0839
2019-03-11,171.88,174.85,171.85,174.73,167.0144,30518400,175.79,167.98,28907825.0,2.1979
2019-03-12,175.19,176.14,174.77,175.69,167.932,33953500,176.14,169.33,29533795.0,2.1416
2019-03-13,176.6,177.93,176.35,177.01,169.1936,42426100,177.93,169.34,30168995.0,2.1487
2019-03-14,177.13,177.34,176.66,176.71,168.9069,23751500,177.93,169.34,30051865.0,2.0438
2019-03-15,177.4,178.88,177.28,178.35,170.4745,38192000,178.88,169.34,30445125.0,2.0528
2019-03-18,177.95,178.99,177.59,178.45,170.8805,32935100,178.99,169.34,30465795.0,2.0062
2019-03-19,179.18,180.0,178.29,179.05,171.455,36893300,180.0,169.34,31336075.0,1.985
2019-03-20,179.06,180.86,178.24,179.76,172.1349,50105000,180.86,169.34,32211675.0,2.0304
2019-03-21,179.22,182.83,179.2,182.57,174.8257,42428500,182.83,169.34,33072730.0,2.1446
2019-03-22,181.78,182.27,178.37,178.56,170.9858,70794500,182.83,169.34,35225685.0,2.2914
2019-03-25,177.91,178.84,176.93,178.22,170.6602,46336500,182.83,169.34,35912070.0,2.2642
2019-03-26,179.6,180.69,178.14,179.05,171.455,33248100,182.83,169.34,36477490.0,2.2846
2019-03-27,179.32,179.72,176.6,177.9,170.3538,37096700,182.83,169.34,37074225.0,2.3443
2019-03-28,178.36,178.98,177.24,178.31,170.7464,30368200,182.83,169.34,37338360.0,2.3011
2019-03-29,179.69,179.83,178.59,179.66,172.0391,35205500,182.83,169.34,37527075.0,2.2453
2019-04-01,181.51,182.26,180.77,182.04,174.3182,30969500,182.83,169.34,37172375.0,2.2707
2019-04-02,182.24,182.91,181.78,182.73,174.9789,22645200,182.91,169.34,37188640.0,2.1892
2019-04-03,183.76,184.92,183.21,183.78,175.9844,31633500,184.92,169.34,37410585.0,2.1892
2019-04-04,183.83,184.5,182.65,183.71,175.9174,28530800,184.92,169.34,36866755.0,2.165
2019-04-05,184.24,184.77,184.02,184.66,176.8271,25674700,184.92,171.85,36185330.0,2.0861
2019-04-08,184.36,185.28,183.63,185.13,177.2772,22697500,185.28,174.77,35794285.0,2.0549
2019-04-09,184.5,185.11,184.09,184.48,176.6547,25631900,185.28,176.35,35378205.0,1.9824
2019-04-10,184.72,185.53,184.52,185.47,177.6027,24563000,185.53,176.6,34485050.0,1.9158
2019-04-11,185.78,185.78,184.69,185.03,177.1814,20654100,185.78,176.6,34330180.0,1.8568
2019-04-12,185.85,185.95,185.06,185.83,177.9474,24989100,185.95,176.6,33670035.0,1.7899
2019-04-15,185.84,186.07,184.62,185.86,177.9762,21073000,186.07,176.6,33076930.0,1.7656
2019-04-16,186.54,186.91,185.93,186.5,178.589,27195700,186.91,176.6,32592050.0,1.7145
2019-04-17,187.75,187.93,186.6,187.15,179.2114,29651600,187.93,176.6,31569380.0,1.6942
2019-04-18,187.46,187.79,186.29,187.39,179.4413,28580900,187.93,176.6,30877000.0,1.6803
2019-04-22,186.57,187.99,186.43,187.92,179.9487,17936000,187.99,176.6,28234075.0,1.6717
2019-04-23,188.4,190.54,188.13,190.31,182.2374,33665600,190.54,176.6,27600530.0,1.7395
2019-04-24,190.47,190.71,189.65,189.71,181.6629,24977100,190.71,176.6,27186980.0,1.6909
2019-04-25,191.13,191.22,189.45,190.48,182.4002,29517500,191.22,177.24,26808020.0,1.6966
2019-04-26,190.18,190.69,188.59,190.65,182.5629,26359500,191.22,178.59,26607585.0,1.7254
2019-04-29,190.65,191.32,190.34,191.02,182.9173,21716200,191.32,180.77,25933120.0,1.6722
2019-04-30,189.48,189.85,188.21,189.54,181.5001,31495300,191.32,181.78,25959410.0,1.7534
2019-05-01,190.78,191.32,188.8,188.93,180.916,34797100,191.32,182.65,26567005.0,1.8082
2019-05-02,188.87,189.85,186.87,188.11,180.1307,44110100,191.32,182.65,27190835.0,1.8919
2019-05-03,189.67,191.25,189.33,191.11,183.0034,30386200,191.32,183.63,27283605.0,1.981
2019-05-06,187.05,190.2,186.76,189.94,181.8831,38371800,191.32,183.63,27918460.0,2.1502
2019-05-07,187.87,188.67,184.51,186.24,178.3401,58818100,191.32,184.09,29724490.0,2.3845
2019-05-08,185.63,187.17,184.96,185.77,177.89,37165300,191.32,184.51,30301160.0,2.3721
2019-05-09,183.7,185.41,182.09,184.77,176.9324,55351700,191.32,182.09,31840595.0,2.4655
2019-05-10,184.11,185.89,181.03,185.0,177.1526,58526400,191.32,181.03,33734210.0,2.6365
2019-05-13,180.29,181.26,178.06,178.58,171.005,67185800,191.32,178.06,35844045.0,2.9439
2019-05-14,179.52,181.63,178.86,180.54,172.8818,43360600,191.32,178.06,36958425.0,2.9515
2019-05-15,179.35,183.55,179.31,183.09,175.3236,40944500,191.32,178.06,37645865.0,3.0435
2019-05-16,183.17,186.07,182.95,184.93,177.0856,39281200,191.32,178.06,38127345.0,3.049
2019-05-17,183.1,185.58,182.88,183.04,175.2758,44702300,191.32,178.06,38933415.0,3.0241
2019-05-20,180.49,181.18,179.34,179.95,172.3168,38608300,191.32,178.06,39967030.0,3.0723
2019-05-21,181.5,182.33,180.92,181.83,174.1171,31613800,191.32,178.06,39864440.0,3.0229
2019-05-22,180.82,182.07,180.75,181.02,173.3415,24332600,191.32,178.06,39832215.0,2.9013
2019-05-23,178.94,179.02,177.14,178.25,170.6889,45351300,191.32,177.14,40623905.0,2.9712
2019-05-24,179.21,179.85,177.94,178.16,170.6028,25903300,191.32,177.14,40601095.0,2.8954
2019-05-28,178.66,179.66,177.47,177.49,169.9612,24763800,191.32,177.14,40753475.0,2.845
2019-05-29,176.39,177.0,175.09,176.03,168.5631,42178800,191.32,175.09,41287650.0,2.8132
2019-05-30,176.5,177.27,175.77,176.77,169.2717,30354800,191.25,175.09,41065535.0,2.7194
2019-05-31,174.69,175.29,173.87,173.95,166.5713,45446200,191.25,173.87,41132340.0,2.7323
2019-06-03,173.48,173.95,169.27,170.12,162.9038,75842300,190.2,169.27,43405145.0,2.8714
