date,open,high,low,close,adj_close,volume,high_20,low_20,vol_sma20,atr14
2019-01-02,245.98,251.21,245.95,250.18,224.3825,126925200,,,,
2019-01-03,248.23,248.57,243.67,244.21,219.0282,144140700,,,,
2019-01-04,247.59,253.11,247.17,252.39,226.3647,142628800,,,,
2019-01-07,252.69,255.95,251.69,254.38,228.1495,103139100,,,,
2019-01-08,256.82,257.31,254.0,256.77,230.293,102512600,,,,
2019-01-09,257.56,258.91,256.19,257.97,231.3693,95006600,,,,
2019-01-10,256.26,259.16,255.5,258.88,232.1855,96823900,,,,
2019-01-11,257.68,259.01,257.03,258.98,232.2751,73858100,,,,
2019-01-14,256.86,258.3,256.41,257.4,230.858,70908200,,,,
2019-01-15,257.82,260.7,257.81,260.35,233.5039,85208300,,,,
2019-01-16,260.83,261.97,260.6,260.98,234.0689,77636700,,,,
2019-01-17,260.01,263.92,259.96,262.96,235.8447,96118400,,,,
2019-01-18,264.98,266.98,263.0,266.46,238.9838,127900300,,,,
2019-01-22,264.82,265.06,261.06,262.86,235.755,115531200,,,,4.105
2019-01-23,264.01,264.79,260.66,263.41,236.2483,86030300,,,,4.1068
2019-01-24,263.21,264.2,262.08,263.55,236.3739,59204100,,,,3.9649
2019-01-25,265.61,266.7,263.66,265.78,238.3739,96883400,,,,3.9067
2019-01-28,263.39,263.83,261.79,263.76,236.5622,85613700,,,,3.9126
2019-01-29,263.92,264.55,262.48,263.41,236.2483,66136300,,,,3.781
2019-01-30,265.1,268.52,264.25,267.58,239.9883,92473700,268.52,243.67,97233980.0,3.8759
2019-01-31,267.51,270.47,267.27,269.93,242.096,104012100,270.47,243.67,96088325.0,3.8277
2019-02-01,270.15,271.2,269.18,270.06,242.2126,85782500,271.2,247.17,93170415.0,3.6985
2019-02-04,270.11,272.03,269.36,271.96,243.9167,60744800,272.03,251.69,89076215.0,3.6251
2019-02-05,272.44,273.44,271.88,273.1,244.9391,79552800,273.44,254.0,87896900.0,3.4776
2019-02-06,272.79,273.34,271.92,272.74,244.6163,58347800,273.44,255.5,85688660.0,3.3306
2019-02-07,270.94,271.55,268.29,270.14,242.2843,95482000,273.44,255.5,85712430.0,3.4106
2019-02-08,268.75,270.58,267.83,270.47,242.5803,75788900,273.44,256.41,84660680.0,3.3634
2019-02-11,271.2,271.49,270.03,270.62,242.7149,68021400,273.44,256.41,84368845.0,3.2274
2019-02-12,272.42,274.52,272.34,274.1,245.836,72270200,274.52,257.81,84436945.0,3.2755
2019-02-13,275.03,275.93,274.56,274.99,246.6342,65277200,275.93,259.96,83440390.0,3.1722
2019-02-14,273.78,275.64,272.87,274.38,246.0871,83234400,275.93,259.96,83720275.0,3.1435
2019-02-15,276.36,277.41,276.13,277.37,248.7689,97088700,277.41,260.66,83768790.0,3.1354
2019-02-19,276.48,278.58,276.47,277.85,249.1993,59120800,278.58,260.66,80329815.0,3.0621
2019-02-20,277.81,278.92,277.25,278.41,249.7016,76610800,278.92,260.66,78383795.0,2.9627
2019-02-21,277.7,278.1,276.35,277.42,248.8137,64214700,278.92,261.79,77293015.0,2.8982
2019-02-22,278.11,279.36,277.4,279.14,250.3563,78114600,279.36,261.79,78238540.0,2.8312
2019-02-25,280.73,281.31,279.43,279.52,250.6971,69030700,281.31,261.79,76845905.0,2.784
2019-02-26,279.13,280.3,278.9,279.32,250.5177,56844100,281.31,262.48,75407425.0,2.6851
2019-02-27,278.52,279.59,277.48,279.2,250.4102,56921600,281.31,264.25,74946690.0,2.644
2019-02-28,278.96,279.45,278.32,278.68,249.9438,69268300,281.31,267.27,73786420.0,2.5359
2019-03-01,280.44,280.88,278.82,280.42,251.5043,78880500,281.31,267.83,72529840.0,2.5119
2019-03-04,281.6,281.87,276.84,279.4,250.5895,106494600,281.87,267.83,73565445.0,2.6918
2019-03-05,279.54,279.76,278.41,279.02,250.2487,59114600,281.87,267.83,73483935.0,2.5959
2019-03-06,279.15,279.16,276.97,277.33,248.733,75039800,281.87,267.83,73258285.0,2.5669
2019-03-07,276.83,276.99,274.07,275.01,246.6522,94885100,281.87,267.83,75085150.0,2.6164
2019-03-08,272.94,274.65,272.42,274.46,246.1589,85795800,281.87,267.83,74600840.0,2.6145
2019-03-11,275.26,278.62,275.23,278.44,249.7285,65098900,281.87,270.03,74066340.0,2.7249
2019-03-12,279.06,280.07,278.85,279.49,250.6702,79667500,281.87,272.34,74648645.0,2.6467
2019-03-13,280.48,282.38,280.3,281.34,252.3294,80639200,282.38,272.42,75067095.0,2.6641
2019-03-14,281.37,281.84,280.67,281.16,252.1681,67518400,282.38,272.42,75179155.0,2.5574
2019-03-15,280.54,282.21,280.33,281.31,253.4138,81309000,282.38,272.42,75082885.0,2.509
2019-03-18,281.55,282.66,281.3,282.33,254.3328,62199800,282.66,272.42,73338440.0,2.4269
2019-03-19,283.51,284.36,281.41,282.4,254.3958,90268100,284.36,272.42,74895805.0,2.4643
2019-03-20,282.16,283.5,280.32,281.55,253.6301,84609200,284.36,272.42,75295725.0,2.5154
