date,open,high,low,close,adj_close,volume
2019-01-02,38.7225,39.7125,38.5575,39.48,37.4692,148158800
2019-01-03,35.995,36.43,35.5,35.5475,33.737,365248800
2019-01-04,36.1325,37.1375,35.95,37.065,35.1772,234428400
2019-01-07,37.175,37.2075,36.475,36.9825,35.0989,219111200
2019-01-08,37.39,37.955,37.13,37.6875,35.768,164101200
2019-01-09,37.8225,38.6325,37.4075,38.3275,36.3754,180396400
2019-01-10,38.125,38.4925,37.715,38.45,36.4917,143122800
2019-01-11,38.22,38.425,37.8775,38.0725,36.1334,108092800
2019-01-14,37.7125,37.8175,37.305,37.5,35.59,129756800
2019-01-15,37.5675,38.3475,37.5125,38.2675,36.3185,114843600
2019-01-16,38.27,38.97,38.25,38.735,36.7621,122278800
2019-01-17,38.55,39.415,38.315,38.965,36.9804,119284800
2019-01-18,39.375,39.47,38.995,39.205,37.2082,135004000
2019-01-22,39.1025,39.1825,38.155,38.325,36.373,121576000
2019-01-23,38.5375,38.785,37.925,38.48,36.5201,92522400
2019-01-24,38.5275,38.62,37.935,38.175,36.2307,101766000
2019-01-25,38.87,39.5325,38.58,39.44,37.4312,134142000
2019-01-28,38.9475,39.0825,38.415,39.075,37.0848,104768400
2019-01-29,39.0625,39.5325,38.5275,38.67,36.7005,166348800
2019-01-30,40.8125,41.5375,40.0575,41.3125,39.2084,244439200
2019-01-31,41.5275,42.25,41.14,41.61,39.4907,162958400
2019-02-01,41.74,42.245,41.4825,41.63,39.5097,130672400
2019-02-04,41.8525,42.915,41.82,42.8125,40.632,125982000
2019-02-05,43.215,43.77,43.0875,43.545,41.3272,144406400
2019-02-06,43.6625,43.8925,43.2125,43.56,41.3414,112958400
2019-02-07,43.1,43.485,42.585,42.735,40.5584,126966800
2019-02-08,42.2475,42.665,42.105,42.6025,40.6061,95280000
2019-02-11,42.7625,42.8025,42.3125,42.3575,40.3726,83973600
2019-02-12,42.525,42.75,42.425,42.7225,40.7205,89134000
2019-02-13,42.8475,43.12,42.48,42.545,40.5513,89960800
2019-02-14,42.4275,42.815,42.345,42.7,40.699,87342800
2019-02-15,42.8125,42.925,42.4375,42.605,40.6085,98507200
2019-02-19,42.4275,42.86,42.3725,42.7325,40.73,75891200
2019-02-20,42.7975,43.33,42.7475,43.0075,40.9921,104457600
2019-02-21,42.95,43.0925,42.575,42.765,40.761,68998800
2019-02-22,42.895,43.25,42.845,43.2425,41.2161,75652800
2019-02-25,43.54,43.9675,43.4875,43.5575,41.5163,87493600
2019-02-26,43.4275,43.825,43.2925,43.5825,41.5401,68280800
2019-02-27,43.3025,43.75,43.1825,43.7175,41.6688,111341600
2019-02-28,43.58,43.7275,43.23,43.2875,41.259,112861600
2019-03-01,43.57,43.7875,43.2225,43.7425,41.6927,103544800
2019-03-04,43.9225,44.4375,43.4925,43.9625,41.9023,109744800
2019-03-05,43.985,44.0,43.635,43.8825,41.8261,78949600
2019-03-06,43.6675,43.8725,43.485,43.63,41.5854,83241600
2019-03-07,43.4675,43.61,43.005,43.125,41.1041,99185600
2019-03-08,42.58,43.2675,42.375,43.2275,41.2018,95997600
2019-03-11,43.8725,44.78,43.8375,44.725,42.6291,128044000
2019-03-12,45.0,45.6675,44.8425,45.2275,43.1081,129870400
2019-03-13,45.5625,45.825,45.23,45.4275,43.2987,124130000
2019-03-14,45.975,46.025,45.64,45.9325,43.78,94318000
