date,open,high,low,close,adj_close,volume
2019-01-02,132.17,135.17,131.54,134.66,122.9778,27295100
2019-01-03,133.91,134.64,131.65,132.25,120.7769,29294600
2019-01-04,133.92,137.6,133.71,137.19,125.2883,35355300
2019-01-07,137.26,140.37,136.74,139.59,127.4801,30477900
2019-01-08,140.8,141.79,139.39,141.73,129.4345,27320900
2019-01-09,142.22,143.39,141.62,142.9,130.503,25764600
2019-01-10,142.06,143.72,141.35,143.64,131.1788,22896800
2019-01-11,143.01,143.99,142.68,143.68,131.2153,22428400
2019-01-14,142.82,143.44,142.09,142.25,129.9093,29185000
2019-01-15,142.65,143.65,142.09,143.45,131.0053,25678900
2019-01-16,143.68,145.25,143.67,144.52,131.9824,20827300
2019-01-17,143.99,146.33,143.97,145.83,133.1788,19273400
2019-01-18,146.6,147.92,146.0,147.33,134.5487,28306700
2019-01-22,146.46,146.76,144.05,145.0,132.4208,27741100
2019-01-23,145.32,146.18,143.46,144.6,132.0555,20621300
2019-01-24,144.43,145.76,144.33,145.47,132.85,16976300
2019-01-25,146.62,147.64,146.43,147.34,134.5578,22266900
2019-01-28,145.96,146.91,145.37,146.55,133.8363,22784700
2019-01-29,146.71,146.82,145.88,146.2,133.5167,12084800
2019-01-30,146.98,148.34,145.68,147.8,134.9779,25516900
2019-01-31,147.61,149.3,147.53,149.06,136.1286,27252900
2019-02-01,149.35,149.68,148.58,149.18,136.2382,17057900
2019-02-04,149.41,150.97,148.88,150.96,137.8638,21301700
2019-02-05,151.01,151.6,150.24,151.12,138.0099,18295900
2019-02-06,151.04,151.37,150.1,150.93,137.8363,13720600
2019-02-07,149.92,150.7,148.39,149.69,136.7039,22850800
2019-02-08,149.06,149.9,148.5,149.85,136.8501,13463000
2019-02-11,150.29,151.15,149.63,151.1,137.9916,16374800
2019-02-12,151.92,153.19,151.88,152.99,139.7176,20779900
2019-02-13,153.42,153.76,152.7,153.42,140.1103,15534500
2019-02-14,152.58,154.37,152.4,153.77,140.43,18251000
2019-02-15,154.78,156.24,154.27,156.22,142.6674,27240200
2019-02-19,155.55,157.1,155.55,156.65,143.0602,15856900
2019-02-20,156.66,157.58,156.53,157.39,143.736,18317400
2019-02-21,157.13,157.37,156.06,156.79,143.188,17497000
2019-02-22,157.27,158.27,157.1,158.15,144.43,20411800
2019-02-25,159.08,159.5,158.09,158.19,144.4665,17957100
2019-02-26,158.01,158.19,156.89,157.1,143.4711,21497300
2019-02-27,156.49,157.44,156.12,157.32,143.672,18194900
2019-02-28,157.09,157.48,156.37,156.78,143.1788,18155300
2019-03-01,157.95,158.34,156.75,158.24,144.5122,19247100
2019-03-04,158.54,158.78,155.59,156.81,143.2062,23301800
2019-03-05,156.94,156.95,155.96,156.08,142.5396,16798200
2019-03-06,156.02,156.08,152.88,153.02,139.7451,29604600
2019-03-07,153.02,153.14,151.37,151.68,138.5213,26822500
2019-03-08,150.84,151.76,150.61,151.64,138.4847,20466800
2019-03-11,152.11,154.31,151.9,154.29,140.9049,20854500
2019-03-12,154.4,154.98,153.8,154.37,140.978,18966800
2019-03-13,154.92,155.73,154.75,154.98,141.535,24109100
2019-03-14,154.9,155.02,154.2,154.35,140.9597,14217500
2019-03-15,154.53,155.87,154.33,154.76,141.3341,22025900
2019-03-18,155.06,156.45,154.48,155.75,142.2382,24510200
2019-03-19,156.48,156.53,154.57,154.96,141.5168,18633100
2019-03-20,154.54,155.42,152.41,153.26,140.3373,29463200
2019-03-21,152.73,156.06,152.73,155.27,142.1778,31845000
2019-03-22,154.2,154.54,149.57,149.62,137.0043,40663000
2019-03-25,149.48,151.32,148.41,150.28,137.6086,26454700
2019-03-26,151.47,152.82,150.79,151.86,139.0554,21308600
2019-03-27,151.71,152.21,149.48,151.27,138.5151,23477100
2019-03-28,151.79,152.93,150.93,152.62,139.7513,19473300
2019-03-29,153.68,153.97,152.1,153.09,140.1817,28298900
2019-04-01,154.29,154.92,153.72,154.76,141.7109,20075200
2019-04-02,154.87,154.88,153.51,154.36,141.3446,18253500
2019-04-03,155.74,156.15,154.73,155.16,142.0771,19554700
2019-04-04,155.28,156.01,154.84,155.92,142.773,15909500
2019-04-05,156.3,157.47,156.19,157.38,144.1099,21379000
2019-04-08,156.85,157.5,156.07,157.12,143.8718,14202400
2019-04-09,156.46,156.7,154.91,155.2,142.1138,18534200
2019-04-10,155.48,157.36,155.33,157.31,144.0458,18938800
2019-04-11,157.52,157.68,156.81,157.11,143.8627,12218700
2019-04-12,158.13,158.16,157.11,157.68,144.3846,14120300
2019-04-15,157.95,158.1,156.5,157.17,143.9176,10964000
