date,open,high,low,close,adj_close,volume
2019-01-02,150.99,155.75,150.88,154.88,148.0408,58576700
2019-01-03,152.6,153.26,149.49,149.82,143.2043,74820200
2019-01-04,152.34,157.0,151.74,156.23,149.3313,74709300
2019-01-07,156.62,158.86,156.11,158.09,151.1091,52059300
2019-01-08,159.54,160.11,157.2,159.52,152.476,49388700
2019-01-09,160.14,161.52,159.47,160.82,153.7186,46491700
2019-01-10,159.6,161.37,158.7,161.28,154.1582,38943400
2019-01-11,160.33,160.86,159.79,160.69,153.5943,30176600
2019-01-14,159.33,159.96,158.59,159.27,152.2369,30710200
2019-01-15,160.0,162.6,159.91,162.38,155.2097,40874200
2019-01-16,162.65,163.78,162.29,162.35,155.181,33812200
2019-01-17,161.83,164.36,161.57,163.63,156.4045,39329000
2019-01-18,164.78,166.02,163.82,165.25,157.9529,57183200
2019-01-22,164.06,164.14,160.76,161.94,154.7891,56711700
2019-01-23,162.77,163.51,160.32,162.15,154.9898,38106100
2019-01-24,162.68,163.44,162.06,163.2,155.9935,32417800
2019-01-25,164.51,165.65,163.95,165.15,157.8573,36515900
2019-01-28,163.02,163.12,161.75,163.11,155.9074,33491200
2019-01-29,163.2,163.24,160.99,161.57,154.4354,30784200
2019-01-30,163.4,166.28,162.89,165.68,158.3639,41346500
2019-01-31,166.7,168.99,166.47,168.16,160.7345,37258400
2019-02-01,167.33,168.6,166.99,167.45,160.0558,32143700
2019-02-04,167.48,169.53,167.33,169.53,162.0439,26718800
2019-02-05,169.76,171.23,169.69,171.03,163.4777,28156400
2019-02-06,171.07,171.37,169.75,170.52,162.9902,27970000
2019-02-07,169.03,169.45,166.95,168.23,160.8013,42036200
2019-02-08,166.76,168.59,166.57,168.56,161.1168,29020700
2019-02-11,169.17,169.58,167.98,168.4,160.9638,21434100
2019-02-12,169.63,171.14,169.33,170.89,163.3439,29722100
2019-02-13,171.65,172.16,170.82,171.01,163.4586,26094100
2019-02-14,170.4,171.83,169.83,171.22,163.6593,30326800
2019-02-15,172.52,172.56,171.14,171.94,164.3475,32521700
2019-02-19,171.41,172.8,171.38,172.28,164.6725,19487700
2019-02-20,172.4,173.08,171.32,172.25,164.6438,32593000
2019-02-21,171.79,172.26,170.71,171.62,164.0417,25207400
2019-02-22,171.99,173.01,171.9,172.89,165.2556,27735400
2019-02-25,174.21,174.66,173.4,173.52,165.8577,32608800
2019-02-26,173.1,174.25,172.81,173.7,166.0298,21939700
2019-02-27,172.9,173.8,171.76,173.59,165.9247,25162000
2019-02-28,173.05,173.81,172.7,173.19,165.5423,25085500
2019-03-01,174.44,174.65,173.18,174.39,166.6893,31431200
2019-03-04,175.54,175.79,172.47,174.42,166.718,38063500
2019-03-05,174.55,175.09,173.69,174.55,166.8423,22319900
2019-03-06,174.72,174.75,173.28,173.56,165.8959,27194600
2019-03-07,173.12,173.18,170.79,171.43,163.86,39407400
2019-03-08,169.51,171.26,169.34,171.17,163.6115,39303200
2019-03-11,171.88,174.85,171.85,174.73,167.0144,30518400
2019-03-12,175.19,176.14,174.77,175.69,167.932,33953500
2019-03-13,176.6,177.93,176.35,177.01,169.1936,42426100
2019-03-14,177.13,177.34,176.66,176.71,168.9069,23751500
2019-03-15,177.4,178.88,177.28,178.35,170.4745,38192000
2019-03-18,177.95,178.99,177.59,178.45,170.8805,32935100
2019-03-19,179.18,180.0,178.29,179.05,171.455,36893300
2019-03-20,179.06,180.86,178.24,179.76,172.1349,50105000
2019-03-21,179.22,182.83,179.2,182.57,174.8257,42428500
2019-03-22,181.78,182.27,178.37,178.56,170.9858,70794500
2019-03-25,177.91,178.84,176.93,178.22,170.6602,46336500
2019-03-26,179.6,180.69,178.14,179.05,171.455,33248100
2019-03-27,179.32,179.72,176.6,177.9,170.3538,37096700
2019-03-28,178.36,178.98,177.24,178.31,170.7464,30368200
2019-03-29,179.69,179.83,178.59,179.66,172.0391,35205500
2019-04-01,181.51,182.26,180.77,182.04,174.3182,30969500
2019-04-02,182.24,182.91,181.78,182.73,174.9789,22645200
2019-04-03,183.76,184.92,183.21,183.78,175.9844,31633500
2019-04-04,183.83,184.5,182.65,183.71,175.9174,28530800
2019-04-05,184.24,184.77,184.02,184.66,176.8271,25674700
2019-04-08,184.36,185.28,183.63,185.13,177.2772,22697500
2019-04-09,184.5,185.11,184.09,184.48,176.6547,25631900
2019-04-10,184.72,185.53,184.52,185.47,177.6027,24563000
2019-04-11,185.78,185.78,184.69,185.03,177.1814,20654100
2019-04-12,185.85,185.95,185.06,185.83,177.9474,24989100
2019-04-15,185.84,186.07,184.62,185.86,177.9762,21073000
2019-04-16,186.54,186.91,185.93,186.5,178.589,27195700
2019-04-17,187.75,187.93,186.6,187.15,179.2114,29651600
2019-04-18,187.46,187.79,186.29,187.39,179.4413,28580900
2019-04-22,186.57,187.99,186.43,187.92,179.9487,17936000
2019-04-23,188.4,190.54,188.13,190.31,182.2374,33665600
2019-04-24,190.47,190.71,189.65,189.71,181.6629,24977100
2019-04-25,191.13,191.22,189.45,190.48,182.4002,29517500
2019-04-26,190.18,190.69,188.59,190.65,182.5629,26359500
2019-04-29,190.65,191.32,190.34,191.02,182.9173,21716200
2019-04-30,189.48,189.85,188.21,189.54,181.5001,31495300
2019-05-01,190.78,191.32,188.8,188.93,180.916,34797100
2019-05-02,188.87,189.85,186.87,188.11,180.1307,44110100
2019-05-03,189.67,191.25,189.33,191.11,183.0034,30386200
2019-05-06,187.05,190.2,186.76,189.94,181.8831,38371800
2019-05-07,187.87,188.67,184.51,186.24,178.3401,58818100
2019-05-08,185.63,187.17,184.96,185.77,177.89,37165300
2019-05-09,183.7,185.41,182.09,184.77,176.9324,55351700
2019-05-10,184.11,185.89,181.03,185.0,177.1526,58526400
2019-05-13,180.29,181.26,178.06,178.58,171.005,67185800
2019-05-14,179.52,181.63,178.86,180.54,172.8818,43360600
2019-05-15,179.35,183.55,179.31,183.09,175.3236,40944500
2019-05-16,183.17,186.07,182.95,184.93,177.0856,39281200
2019-05-17,183.1,185.58,182.88,183.04,175.2758,44702300
2019-05-20,180.49,181.18,179.34,179.95,172.3168,38608300
2019-05-21,181.5,182.33,180.92,181.83,174.1171,31613800
2019-05-22,180.82,182.07,180.75,181.02,173.3415,24332600
2019-05-23,178.94,179.02,177.14,178.25,170.6889,45351300
2019-05-24,179.21,179.85,177.94,178.16,170.6028,25903300
2019-05-28,178.66,179.66,177.47,177.49,169.9612,24763800
2019-05-29,176.39,177.0,175.09,176.03,168.5631,42178800
2019-05-30,176.5,177.27,175.77,176.77,169.2717,30354800
2019-05-31,174.69,175.29,173.87,173.95,166.5713,45446200
2019-06-03,173.48,173.95,169.27,170.12,162.9038,75842300
2019-06-04,172.03,174.97,171.37,174.91,167.4907,47797800
2019-06-05,176.58,176.61,174.38,176.21,168.7355,34412700
2019-06-06,176.51,178.04,175.73,177.61,170.0761,29913200
2019-06-07,178.56,181.77,178.33,181.04,173.3606,45888300
2019-06-10,182.25,184.85,182.21,183.15,175.3811,41385300
2019-06-11,185.06,185.4,182.78,183.4,175.6205,41260300
2019-06-12,182.9,183.28,182.0,182.34,174.6054,27758100
2019-06-13,183.1,183.87,182.74,183.42,175.6396,23715800
2019-06-14,182.48,183.11,181.94,182.64,174.8928,22844100
2019-06-17,183.04,184.25,182.84,183.74,175.9461,20379500
2019-06-18,185.91,187.72,185.43,186.41,178.5028,48177300
2019-06-19,186.66,187.53,185.57,187.11,179.1732,31672900
2019-06-20,189.72,189.76,187.16,188.85,180.8394,40922000
2019-06-21,188.63,189.77,188.17,188.57,180.5712,39980400
2019-06-24,188.53,188.72,188.06,188.16,180.577,19375200
2019-06-25,188.03,188.14,184.65,184.93,177.4771,33921100
2019-06-26,186.16,187.33,185.49,185.79,178.3025,22595700
2019-06-27,186.46,186.94,185.99,186.5,178.9839,19709200
2019-06-28,186.95,187.15,186.07,186.74,179.2142,21179200
2019-07-01,190.32,190.57,188.38,189.26,181.6326,31025600
2019-07-02,189.2,190.03,188.66,190.01,182.3524,18035800
2019-07-03,190.49,191.44,190.29,191.44,183.7248,15792100
2019-07-05,190.13,191.4,189.39,191.05,183.3505,21415600
2019-07-08,189.81,189.87,188.93,189.71,182.0645,17598800
2019-07-09,188.81,190.9,188.65,190.66,182.9762,19193500
2019-07-10,191.82,193.09,191.47,192.56,184.7997,28374500
2019-07-11,192.85,193.34,191.81,192.42,184.6653,23736100
2019-07-12,192.63,193.54,192.45,193.53,185.7306,20211900
2019-07-15,193.98,194.19,193.44,194.15,186.3255,15606100
2019-07-16,193.91,194.09,192.56,193.15,185.3659,20190900
2019-07-17,193.15,193.49,192.18,192.2,184.4542,16765100
2019-07-18,191.29,192.79,190.69,192.42,184.6653,28877000
2019-07-19,193.74,193.83,190.81,191.01,183.3121,29387900
2019-07-22,191.44,192.94,191.44,192.53,184.7709,18954900
2019-07-23,193.58,193.81,192.29,193.79,185.9801,23786700
2019-07-24,193.05,195.16,193.03,195.15,187.2853,20422900
2019-07-25,194.49,194.52,192.93,193.3,185.5098,23434700
2019-07-26,194.53,195.55,194.43,195.29,187.4196,20431200
2019-07-29,195.11,195.18,193.39,194.62,186.7766,20451700
2019-07-30,193.13,194.54,192.99,193.78,185.9705,18705000
2019-07-31,194.3,194.43,189.32,191.1,183.3985,41627500
2019-08-01,191.43,194.98,189.23,190.15,182.4867,63251600
2019-08-02,188.72,188.99,186.21,187.35,179.7996,55214000
2019-08-05,183.43,183.51,179.2,180.73,173.4464,75040000
2019-08-06,182.4,183.8,181.07,183.26,175.8744,41897200
2019-08-07,181.27,184.51,179.89,184.25,176.8245,49990600
2019-08-08,185.08,188.32,184.57,188.26,180.6729,38418100
2019-08-09,187.36,188.0,185.03,186.49,178.9743,33608900
2019-08-12,185.34,185.9,183.5,184.35,176.9205,24642900
2019-08-13,184.19,189.68,184.02,188.39,180.7977,40241900
2019-08-14,185.36,185.95,182.42,182.76,175.3946,51000500
2019-08-15,183.0,183.59,181.16,182.55,175.1931,36685000
2019-08-16,184.21,185.95,184.1,185.48,178.0049,32781400
2019-08-19,188.16,188.83,187.5,188.43,180.8361,22494100
2019-08-20,187.96,188.64,186.92,186.97,179.435,19902900
