date,equity
2019-01-02,100000.0
2019-01-02,100000.0
2019-01-03,100000.0
2019-01-04,100000.0
2019-01-07,100000.0
2019-01-08,100000.0
2019-01-09,100000.0
2019-01-10,100000.0
2019-01-11,100000.0
2019-01-14,100000.0
2019-01-15,100000.0
2019-01-16,100000.0
2019-01-17,100000.0
2019-01-18,100000.0
2019-01-22,100000.0
2019-01-23,100000.0
2019-01-24,100000.0
2019-01-25,100000.0
2019-01-28,100000.0
2019-01-29,100000.0
2019-01-30,100000.0
2019-01-31,100000.0
2019-02-01,100000.0
2019-02-04,100000.0
2019-02-05,100000.0
2019-02-06,100000.0
2019-02-07,100000.0
2019-02-08,100000.0
2019-02-11,100000.0
2019-02-12,100000.0
2019-02-13,100000.0
2019-02-14,100000.0
2019-02-15,100000.0
2019-02-19,100000.0
2019-02-20,100000.0
2019-02-21,100000.0
2019-02-22,100000.0
2019-02-25,100000.0
2019-02-26,100000.0
2019-02-27,100000.0
2019-02-28,100000.0
2019-03-01,100000.0
2019-03-04,100000.0
2019-03-05,100000.0
2019-03-06,100000.0
2019-03-07,100000.0
2019-03-08,100000.0
2019-03-11,100000.0
2019-03-12,100000.0
2019-03-13,100000.0
2019-03-14,100000.0
2019-03-15,100000.0
2019-03-18,100208.6
2019-03-19,100229.31
2019-03-20,100334.81
2019-03-21,100932.94
2019-03-22,100595.27
2019-03-25,100621.5
2019-03-26,100632.25
2019-03-27,100583.23
2019-03-28,100590.11
2019-03-29,100633.54
2019-04-01,100679.98
2019-04-02,100687.29
2019-04-03,100720.83
2019-04-04,100694.6
2019-04-05,100717.39
2019-04-08,100719.11
2019-04-09,100691.16
2019-04-10,100730.29
2019-04-11,100736.31
2019-04-12,100762.97
2019-04-15,100762.97
2019-04-16,100762.97
2019-04-17,100762.97
2019-04-18,100762.97
2019-04-22,100762.97
2019-04-23,100762.97
2019-04-24,100762.97
2019-04-25,100762.97
2019-04-26,100691.33
2019-04-29,100655.54
2019-04-30,100555.98
2019-05-01,100449.9
2019-05-02,100388.46
2019-05-03,100450.21
2019-05-06,100220.91
2019-05-07,100220.91
2019-05-08,100220.91
2019-05-09,100220.91
2019-05-10,100220.91
2019-05-13,100220.91
2019-05-14,100220.91
2019-05-15,100220.91
2019-05-16,100220.91
2019-05-17,100220.91
2019-05-20,100220.91
