ticker,entry_date,exit_date,entry_price,exit_price,shares,pnl,reason
AMZN,2019-03-15,2019-03-20,85.618,89.8989,58,248.29,target
AAPL,2019-03-15,2019-03-21,46.53,48.8565,107,248.94,target
NVDA,2019-03-19,2019-03-21,4.3927,4.612335,1140,250.38,target
NVDA,2019-03-21,2019-03-22,4.5985,4.50653,1097,-100.89,stop_loss
AAPL,2019-03-21,2019-03-22,48.7725,47.79705,103,-100.47,stop_loss
MSFT,2019-03-15,2019-04-12,115.91,120.95,43,216.72,time_exit
META,2019-04-25,2019-04-26,193.26,189.39479999999998,26,-100.5,stop_loss
AMZN,2019-04-26,2019-04-30,97.5315,95.79701785714285,51,-88.46,stop_loss
GOOGL,2019-04-29,2019-04-30,64.81,63.84132142857143,77,-74.59,stop_loss
MSFT,2019-04-25,2019-05-02,129.15,127.13892857142858,39,-78.43,stop_loss
AAPL,2019-05-01,2019-05-06,52.63,51.577400000000004,95,-100.0,stop_loss
AMZN,2019-05-03,2019-05-06,98.123,96.16054,51,-100.09,stop_loss
META,2019-06-17,2019-06-19,189.01,185.22979999999998,26,-98.29,stop_loss
NVDA,2019-07-01,2019-07-02,4.1543,4.071214,1205,-100.12,stop_loss
AMZN,2019-07-10,2019-07-18,100.8705,98.874375,49,-97.81,stop_loss
AAPL,2019-07-31,2019-08-01,53.26,52.245357142857145,93,-94.36,stop_loss
AAPL,2019-09-11,2019-09-13,55.8975,54.77955,89,-99.5,stop_loss
TSLA,2019-09-11,2019-09-16,16.4733,16.143834,303,-99.83,stop_loss
NVDA,2019-09-05,2019-09-20,4.4935,4.40363,1110,-99.76,stop_loss
IWM,2019-09-11,2019-09-24,157.0,153.85999999999999,31,-97.34,stop_loss
NVDA,2019-10-15,2019-10-17,4.9092,4.811016,1012,-99.36,stop_loss
GOOGL,2019-10-28,2019-10-29,64.449,63.160019999999996,77,-99.25,stop_loss
NVDA,2019-11-18,2019-11-19,5.307,5.2008600000000005,935,-99.24,stop_loss
GOOGL,2019-11-07,2019-12-02,65.347,64.04333928571428,75,-97.77,stop_loss
TSLA,2019-12-16,2019-12-19,25.4333,26.704965,195,247.97,target
TSLA,2019-12-19,2019-12-24,26.936,28.2828,184,247.81,target
AAPL,2019-12-12,2019-12-26,67.865,71.25824999999998,72,244.31,target
NVDA,2019-12-20,2019-12-30,5.9843,5.864614,831,-99.46,stop_loss
TSLA,2020-01-03,2020-01-07,29.534,31.010699999999996,168,248.09,target
SPY,2019-12-12,2020-01-08,317.13,324.9969642857143,15,118.0,target
TSLA,2020-01-07,2020-01-08,31.2707,32.834235,159,248.6,target
TSLA,2020-01-08,2020-01-09,32.8093,32.153114,152,-99.74,stop_loss
IWM,2019-12-12,2020-01-13,163.96,165.96,30,60.0,time_exit
TSLA,2020-01-14,2020-01-15,35.8613,35.144073999999996,139,-99.69,stop_loss
TSLA,2020-01-22,2020-01-23,37.9707,37.211286,131,-99.48,stop_loss
GOOGL,2020-01-17,2020-01-27,73.976,72.54253571428572,67,-96.04,stop_loss
MSFT,2020-01-17,2020-01-27,167.1,163.75799999999998,29,-96.92,stop_loss
META,2020-01-29,2020-01-30,223.23,218.7654,22,-98.22,stop_loss
AAPL,2020-01-29,2020-01-31,81.085,79.46329999999999,61,-98.92,stop_loss
MSFT,2020-01-30,2020-02-05,172.78,181.419,28,241.89,target
AMZN,2020-01-31,2020-02-10,100.436,105.45779999999999,49,246.07,target
NVDA,2020-02-10,2020-02-14,6.5743,6.903015,761,250.15,target
NVDA,2020-02-14,2020-02-19,7.2448,7.60704,692,250.67,target
NVDA,2020-02-19,2020-02-20,7.8675,7.71015,639,-100.55,stop_loss
META,2020-04-29,2020-04-30,194.19,203.89950000000002,25,242.74,target
AMZN,2020-04-30,2020-05-01,123.7,121.226,40,-98.96,stop_loss
META,2020-04-30,2020-05-01,204.71,200.6158,24,-98.26,stop_loss
NVDA,2020-05-15,2020-05-18,8.4908,8.915340000000002,592,251.33,target
NVDA,2020-05-18,2020-05-27,8.7502,8.575196,576,-100.8,stop_loss
META,2020-05-20,2020-05-27,229.97,225.3706,21,-96.59,stop_loss
SPY,2020-06-05,2020-06-11,319.34,312.9532,15,-95.8,stop_loss
AAPL,2020-06-23,2020-06-24,91.6325,89.79984999999999,54,-98.96,stop_loss
TSLA,2020-06-30,2020-07-01,71.9873,75.58666500000001,69,248.36,target
AMZN,2020-07-01,2020-07-06,143.935,151.13175,34,244.69,target
AMZN,2020-07-06,2020-07-07,152.852,149.79496,33,-100.88,stop_loss
TSLA,2020-07-07,2020-07-08,92.6573,90.80415400000001,54,-100.07,stop_loss
AAPL,2020-08-03,2020-08-06,108.9375,114.38437500000002,46,250.56,target
META,2020-08-06,2020-08-07,265.28,278.54400000000004,19,252.02,target
META,2020-08-07,2020-08-10,268.44,263.0712,18,-96.64,stop_loss
NVDA,2020-08-17,2020-08-18,12.337,12.090259999999999,409,-100.92,stop_loss
TSLA,2020-08-20,2020-08-24,133.4553,130.786194,37,-98.76,stop_loss
META,2020-08-25,2020-08-26,280.82,294.861,17,238.7,target
TSLA,2020-08-27,2020-08-28,149.25,146.265,33,-98.51,stop_loss
AAPL,2020-08-21,2020-08-31,124.37,130.5885,40,248.74,target
NVDA,2020-08-21,2020-08-31,12.6835,13.317675,398,252.4,target
AMZN,2020-08-26,2020-09-03,172.0925,168.65064999999998,29,-99.81,stop_loss
NVDA,2020-09-02,2020-09-03,14.3465,14.05957,354,-101.57,stop_loss
GOOGL,2020-09-02,2020-09-03,85.8695,84.15211000000001,59,-101.33,stop_loss
AAPL,2020-10-12,2020-10-13,124.4,121.912,40,-99.52,stop_loss
AMZN,2020-10-12,2020-10-14,172.1465,168.70357,29,-99.84,stop_loss
IWM,2020-11-09,2020-11-17,169.55,178.02749999999997,29,245.85,target
TSLA,2020-11-19,2020-11-20,166.4233,163.09483400000002,30,-99.85,stop_loss
GOOGL,2020-11-04,2020-11-23,87.2925,85.54665,57,-99.51,stop_loss
TSLA,2020-11-24,2020-11-27,185.1267,194.38303500000004,27,249.92,target
SPY,2020-11-09,2020-12-08,354.56,370.17,14,218.54,time_exit
TSLA,2020-12-08,2020-12-09,216.6267,212.294166,23,-99.65,stop_loss
AAPL,2020-12-15,2020-12-21,127.88,125.32239999999999,39,-99.75,stop_loss
TSLA,2020-12-18,2020-12-21,231.6667,227.033366,21,-97.3,stop_loss
AAPL,2020-12-22,2020-12-29,131.88,138.474,38,250.57,target
IWM,2021-01-06,2021-01-14,204.53,214.7565,24,245.44,target
GOOGL,2021-01-20,2021-01-27,94.0035,92.12343,54,-101.52,stop_loss
AMZN,2021-02-02,2021-02-03,169.0,165.62,30,-101.4,stop_loss
NVDA,2021-02-08,2021-02-11,14.4388,15.16074,352,254.12,target
NVDA,2021-02-11,2021-02-12,15.2507,14.945686,334,-101.87,stop_loss
GOOGL,2021-02-03,2021-02-23,102.944,100.88512,49,-100.89,stop_loss
META,2021-03-19,2021-03-24,290.11,284.3078,17,-98.64,stop_loss
NVDA,2021-04-12,2021-04-15,15.209,15.969450000000002,333,253.23,target
NVDA,2021-04-15,2021-04-19,16.1373,15.814554,315,-101.66,stop_loss
META,2021-04-29,2021-05-03,329.51,322.9198,15,-98.85,stop_loss
GOOGL,2021-04-28,2021-05-04,117.952,115.59295999999999,43,-101.44,stop_loss
NVDA,2021-05-28,2021-06-01,16.2445,15.919609999999999,312,-101.37,stop_loss
NVDA,2021-06-02,2021-06-04,16.7782,17.617110000000004,302,253.35,target
NVDA,2021-06-04,2021-06-07,17.5783,17.226733999999997,289,-101.6,stop_loss
NVDA,2021-06-17,2021-06-21,18.6572,18.284056,272,-101.5,stop_loss
AMZN,2021-06-17,2021-06-25,174.462,171.1445892857143,29,-96.2,stop_loss
META,2021-06-28,2021-06-30,355.64,348.5272,14,-99.58,stop_loss
TSLA,2021-06-24,2021-07-06,226.6067,222.07456599999998,22,-99.71,stop_loss
AMZN,2021-07-06,2021-07-16,183.787,180.11126000000002,27,-99.24,stop_loss
AAPL,2021-07-14,2021-07-16,149.15,146.167,33,-98.44,stop_loss
GOOGL,2021-07-23,2021-07-27,133.015,130.35469999999998,37,-98.43,stop_loss
META,2021-07-23,2021-07-29,369.79,362.3942,13,-96.15,stop_loss
GOOGL,2021-07-28,2021-08-03,136.094,133.37212,37,-100.71,stop_loss
TSLA,2021-08-02,2021-08-16,236.5567,231.825566,21,-99.35,stop_loss
NVDA,2021-08-20,2021-08-23,20.816,21.856799999999996,241,250.83,target
MSFT,2021-08-20,2021-08-27,304.36,298.5582142857143,16,-92.83,stop_loss
NVDA,2021-08-23,2021-09-20,21.958,21.518839999999997,229,-100.57,stop_loss
TSLA,2021-10-21,2021-10-25,298.0,312.9,16,238.4,target
GOOGL,2021-10-27,2021-11-01,146.2175,143.29315,34,-99.43,stop_loss
NVDA,2021-10-26,2021-11-02,24.717,25.95285,204,252.11,target
MSFT,2021-10-27,2021-11-05,323.17,338.2664285714285,15,226.45,target
AMZN,2021-11-18,2021-11-22,184.803,181.10693999999998,27,-99.79,stop_loss
TSLA,2022-03-23,2022-03-28,333.0367,349.688535,15,249.78,target
AAPL,2022-10-28,2022-10-31,155.74,152.6252,32,-99.67,stop_loss
MSFT,2022-11-30,2022-12-02,255.14,250.03719999999998,19,-96.95,stop_loss
MSFT,2022-12-13,2022-12-15,256.92,251.7816,19,-97.63,stop_loss
GOOGL,2023-01-20,2023-01-25,98.02,96.05959999999999,51,-99.98,stop_loss
NVDA,2023-01-23,2023-01-25,19.193,18.80914,263,-100.96,stop_loss
AMZN,2023-02-02,2023-02-03,112.91,110.6518,44,-99.36,stop_loss
GOOGL,2023-02-02,2023-02-03,107.74,105.58519999999999,46,-99.12,stop_loss
MSFT,2023-02-07,2023-02-10,267.56,262.2088,18,-96.32,stop_loss
AAPL,2023-02-02,2023-02-22,150.82,147.8036,33,-99.54,stop_loss
AMZN,2023-04-21,2023-04-25,106.96,104.82079999999999,46,-98.4,stop_loss
AMZN,2023-04-27,2023-04-28,109.82,107.6236,45,-98.84,stop_loss
MSFT,2023-04-26,2023-05-05,295.37,310.1385,16,236.3,target
GOOGL,2023-05-10,2023-05-11,111.75,117.3375,44,245.85,target
GOOGL,2023-05-11,2023-05-18,116.57,122.3985,43,250.63,target
NVDA,2023-05-18,2023-05-19,31.678,31.04444,159,-100.74,stop_loss
NVDA,2023-05-30,2023-05-31,40.111,39.30878,126,-101.08,stop_loss
AAPL,2023-05-05,2023-06-05,173.57,182.24850000000004,28,243.0,target
MSFT,2023-05-25,2023-06-15,325.92,342.216,15,244.44,target
META,2023-06-23,2023-06-26,288.73,282.9554,17,-98.17,stop_loss
META,2023-07-05,2023-07-10,294.37,288.4826,17,-100.09,stop_loss
MSFT,2023-07-18,2023-07-20,359.49,352.3002,14,-100.66,stop_loss
AAPL,2023-07-19,2023-08-03,195.1,191.19799999999998,25,-97.55,stop_loss
GOOGL,2023-07-26,2023-08-18,129.27,126.6846,39,-100.83,stop_loss
GOOGL,2023-08-29,2023-09-21,134.57,131.87859999999998,37,-99.58,stop_loss
MSFT,2023-11-20,2023-12-04,377.44,369.89119999999997,13,-98.13,stop_loss
IWM,2023-12-01,2023-12-14,184.91,194.15550000000002,27,249.63,target
IWM,2023-12-14,2024-01-03,198.71,194.7358,25,-99.35,stop_loss
SPY,2023-12-14,2024-01-05,472.01,466.6903571428571,10,-53.2,stop_loss
NVDA,2024-01-08,2024-01-11,52.253,54.86565,96,250.81,target
AMZN,2024-02-02,2024-02-05,171.81,168.3738,29,-99.65,stop_loss
NVDA,2024-02-23,2024-02-27,78.817,77.24065999999999,63,-99.31,stop_loss
MSFT,2024-03-14,2024-03-15,425.22,416.7156,11,-93.55,stop_loss
GOOGL,2024-03-18,2024-04-01,147.68,155.064,34,251.06,target
NVDA,2024-05-28,2024-05-29,113.901,111.62298,44,-100.23,stop_loss
AAPL,2024-06-11,2024-06-12,207.15,217.5075,24,248.58,target
AAPL,2024-06-12,2024-06-21,213.07,208.80859999999998,23,-98.01,stop_loss
TSLA,2024-07-01,2024-07-02,209.86,220.35300000000004,24,251.83,target
TSLA,2024-07-03,2024-07-08,246.39,258.70949999999993,20,246.39,target
META,2024-07-05,2024-07-08,539.91,529.1117999999999,9,-97.18,stop_loss
TSLA,2024-07-08,2024-07-09,252.94,265.587,20,252.94,target
TSLA,2024-07-09,2024-07-11,262.33,257.0834,19,-99.69,stop_loss
IWM,2024-07-12,2024-07-16,213.14,222.8230357142857,23,222.71,target
AMZN,2024-06-26,2024-07-17,193.61,189.73780000000002,26,-100.68,stop_loss
IWM,2024-07-16,2024-07-18,224.6,220.1835714285714,22,-97.16,stop_loss
TSLA,2024-09-05,2024-09-06,230.17,225.5666,22,-101.27,stop_loss
AMZN,2024-09-20,2024-09-27,191.6,187.768,26,-99.63,stop_loss
SPY,2024-09-19,2024-10-17,570.98,582.35,8,90.96,time_exit
TSLA,2024-10-25,2024-10-28,269.19,263.8062,18,-96.91,stop_loss
GOOGL,2024-10-30,2024-11-01,174.46,170.9708,29,-101.19,stop_loss
AMZN,2024-11-01,2024-11-07,197.93,207.82649999999998,25,247.41,target
IWM,2024-11-06,2024-11-14,237.22,232.4756,21,-99.63,stop_loss
GOOGL,2024-12-10,2024-12-11,185.17,194.42850000000004,27,249.98,target
GOOGL,2024-12-11,2024-12-13,195.4,191.492,26,-101.61,stop_loss
TSLA,2024-12-17,2024-12-18,479.86,470.2628,10,-95.97,stop_loss
